Story_1,Story_2,Story_3,Story_4,Story_5,Story_6,Story_7,Story_8,Story_9,Story_10,Story_11,Story_12,Story_13,Story_14,Story_15,Story_16,Story_17,Story_18,Story_19,Story_20,Ability
1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,1.6030882416567398
2.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,-1.7090962337444418
3.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,0.01408083673498634
1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,-0.2724360905992372
3.0,1.0,1.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,-0.6473445913879868
2.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,1.267693522140215
3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.8279969036763186
2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,2.0,-1.2469755166790109
3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,0.217885198393444
3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.6544899088778835
1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,3.0,0.8471303909274863
3.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,3.0,3.0,-0.2131170505433188
3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,-0.14250245121056968
3.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,0.49750969350668905
3.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,-0.16673797678891003
1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,1.0,0.6597801375554647
1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,-1.013948291745597
3.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,1.1316578322985098
2.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,-0.1557311143285359
3.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,-1.0254597723650791
2.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,-0.8891362972048633
2.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,-0.7724593754983753
1.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,1.449867807729263
3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,-0.06079812113505727
3.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,0.4865069834149202
1.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,0.27154183902140405
3.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,0.43093847430185966
2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,0.4595729276457823
1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,-0.015889489016040915
3.0,2.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,0.18916920164159434
1.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,-1.668452182231294
2.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,-0.7894626809975159
3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,0.4901303355327933
3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,2.0,-0.38552499227563364
2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,3.0,-0.23212177149213784
3.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0,3.0,-0.40215638522789476
3.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,-0.04987657832040809
2.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,0.964112645302165
2.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.5427141688908517
3.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,0.2524531301629525
3.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.5926950457147594
1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,0.2707517527457615
3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,-0.3371296210401012
1.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,1.6200140550023325
3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,0.05139198431166946
3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,-0.43002054824392755
1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,-1.0571372854711456
3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,0.10776612657810769
2.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,-0.9175145297527741
3.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,1.1482649931133113
3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,0.3722693981843949
3.0,2.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,0.5895787125873446
1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,0.05931802059621366
3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,0.6546746992675461
1.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.3863127180519268
3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,1.605395216204215
2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,0.9984745875947485
2.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,-0.113501507037278
3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,3.0,-1.4290116943283357
3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,-0.46042378973954085
1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.4104072780604988
1.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,-1.3048418928749577
3.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,0.4615649896240378
2.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,-0.3819334786316785
2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,-0.6164404260341095
1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,-0.9138459035244363
1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.2829705998270895
3.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0818035092425557
3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,-0.7279953486006172
2.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,3.0,-0.04550777641703434
3.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,-0.09497749047923772
